loan_type,house_value,loan_duration,annuity_duration,loan_amount,reinvest_fraction,mean_reinvestment,std_reinvestment,p10_reinvestment,p25_reinvestment,p50_reinvestment,p75_reinvestment,p90_reinvestment,mean_deficit,total_holiday_quarters,pct_quarters_holiday,mean_funder_earned,mean_funder_profit_share,mean_net_position,mean_cagr,xirr,prob_insurance_payout,mean_insurance_payout_npv,simulation_time_sec
Interest Only,6200000,10,30,4960000.0,0.8185483870967742,10728482.8,4443201.814146707,6245249.4,7717699.75,9891999.5,12341436.5,15728741.000000006,2106875.0,4100,1.0,0.0,1941876.755,1941876.755,0.12053722992360916,0.027653979262397765,0.09,69606.36906338992,0.06420516967773438
Principal+Interest,6200000,10,30,4960000.0,0.8185483870967742,9862931.6,4075236.863790374,5234148.4,7192053.25,9311634.5,12116704.25,14346431.3,2030000.0000000002,4100,1.0,0.0,1631823.575,1631823.575,0.10967900475676329,0.02510840487862409,0.18,137659.73770419974,0.0659480094909668
Interest Only,6200000,15,15,4960000.0,0.9092741935483871,20155039.41,10405248.563025216,10094311.8,13052718.0,18609125.0,22995430.5,34195269.50000003,3528778.4375,6080,0.9967213114754099,25284.0625,5855319.76875,5880603.83125,0.12390944394475567,0.028811508782762063,0.02,14840.931943879543,0.0938558578491211
Principal+Interest,6200000,15,15,4960000.0,0.9092741935483871,16760857.6,9958638.850489708,8567812.7,10241434.5,14095961.0,20713481.75,29133507.700000003,3355721.875,6078,0.9963934426229508,26778.125,4295034.1975,4321812.3225,0.10818722629933242,0.025134872218943505,0.07,59704.110468326435,0.0968618392944336
Interest Only,6200000,15,20,4960000.0,0.8790322580645161,17799568.37,7877870.282207393,9144555.1,12207535.25,16875983.0,20929882.0,26633675.800000012,3434057.65625,6092,0.9986885245901639,7504.84375,4759318.506875,4766823.350625,0.1158061355071085,0.026871577181640127,0.07,39256.85885415936,0.09233307838439941
Principal+Interest,6200000,15,20,4960000.0,0.8790322580645161,17185166.52,9491565.482623052,7854626.1,11129940.25,15451264.5,20841902.25,26858395.8,3238935.0,6076,0.9960655737704918,31065.0,4590294.34,4621359.34,0.11317999002007695,0.026283000273923385,0.08,73184.44448533747,0.09491515159606934
Interest Only,6200000,15,25,4960000.0,0.8487903225806451,17764513.77,8167440.5679120505,8174269.7,11671346.75,16058102.5,23084623.25,27502134.70000001,3319783.28125,6093,0.9988524590163934,9279.21875,4802317.121875,4811596.340625,0.11843967657036414,0.02745831109757546,0.05,28588.51198972397,0.09108495712280273
Principal+Interest,6200000,15,25,4960000.0,0.8487903225806451,16023137.43,7672987.481006813,8850156.700000001,10444469.75,14579020.0,19374181.0,25814740.400000002,3146448.75,6091,0.9985245901639345,11051.25,4028329.81,4039381.06,0.10966257078814423,0.025399613688964262,0.06,44908.032790976074,0.0953371524810791
Interest Only,6200000,15,30,4960000.0,0.8185483870967742,16624681.47,7874034.753321105,8210681.4,10825339.75,15255762.5,21462063.5,26371011.400000006,3212900.9375,6095,0.9991803278688525,3661.5625,4291051.48875,4294713.05125,0.11548346483958438,0.02672653239060474,0.06,35594.37583910031,0.10947012901306152
Principal+Interest,6200000,15,30,4960000.0,0.8185483870967742,15587493.76,6875559.155227425,8437492.2,10554670.0,14629202.5,19126964.25,24209275.3,3039671.2500000005,6094,0.9990163934426229,5328.750000000001,3864199.25,3869528.0,0.11009997162078666,0.025461782191464,0.06,40207.62993318777,0.11380720138549805
Interest Only,6200000,20,20,4960000.0,0.8790322580645161,32136287.21,17059576.29363391,13409780.0,20948257.5,28331155.5,37954381.25,55572790.10000002,4310396.25,7852,0.9693827160493828,353353.75,11459595.145,11812948.895,0.12201315581464023,0.028615482504052547,0.02,17714.71864710616,0.18790197372436523
