loan_type,house_value,loan_duration,annuity_duration,loan_amount,reinvest_fraction,mean_reinvestment,std_reinvestment,p10_reinvestment,p25_reinvestment,p50_reinvestment,p75_reinvestment,p90_reinvestment,mean_deficit,total_holiday_quarters,pct_quarters_holiday,mean_funder_earned,mean_funder_profit_share,mean_net_position,mean_cagr,xirr,prob_insurance_payout,mean_insurance_payout_npv,simulation_time_sec
Principal+Interest,5000000,20,20,4000000.0,0.85,20924927.8788,12035004.079122687,8836965.700000001,12469306.25,18102858.0,26269161.25,36359042.2,3236302.75,793163,0.9792135802469136,163697.25,6886023.18765,7049720.43765,0.11080249406818443,0.02573969856511127,0.0401,25141.384898949862,6.453458309173584
Interest Only,5000000,20,25,4000000.0,0.8125,21770587.105,12164660.272834305,9484670.6,13261726.0,19101257.5,27503293.75,36932607.0,3318664.26875,788287,0.9731938271604939,235085.73125,7256227.897275,7491313.628525,0.11569580772749499,0.026885351640331123,0.0295,15397.360256664228,6.2902610301971436
Principal+Interest,5000000,20,25,4000000.0,0.8125,19920916.6408,11608719.09382363,8413988.0,11813755.0,17287215.5,25023051.5,34225319.00000001,3093421.09375,793069,0.9790975308641975,156578.90625,6454688.698525,6611267.604775,0.11036548547560199,0.02558950504782631,0.037,20996.81377848432,6.2637152671813965
Interest Only,5000000,20,30,4000000.0,0.775,20518589.8211,11215351.744482804,9127911.8,12420536.25,17981314.5,25904004.75,35226791.00000001,3183870.8,788852,0.9738913580246914,219879.2,6699962.0555,6919841.2555,0.11474405801348686,0.026611767620864812,0.0287,14195.275057402643,6.5157129764556885
Principal+Interest,5000000,20,30,4000000.0,0.775,18976039.481,11195533.792234711,7888852.800000002,11220476.0,16363944.5,23958884.25,32810613.8,2949049.375,792941,0.9789395061728395,150950.625,6064157.8416,6215108.4666,0.11010434537706137,0.025480584624677505,0.0433,22708.541807976813,6.222696781158447
Interest Only,5000000,25,25,4000000.0,0.8125,34731943.1819,22076438.33327038,13905320.4,20050722.0,29810772.5,42880930.25,60884504.30000001,3466734.8265625,915704,0.9066376237623762,1069202.6734375,13647232.76029375,14716435.43373125,0.11406621536695694,0.026864748776292302,0.0134,6565.506814229034,8.261993885040283
Principal+Interest,5000000,25,25,4000000.0,0.8125,31901284.5481,20824222.175645784,12190330.700000001,17826361.25,27133705.0,39684209.5,57390295.70000001,3334004.375,933419,0.9241772277227723,728495.625,12304648.75665,13033144.38165,0.110053442826622,0.025826258080620113,0.0176,9790.8918082142,8.351351737976074
Interest Only,5000000,25,30,4000000.0,0.775,32958961.3698,20741213.65268905,13473893.2,19151411.0,28187276.5,40717543.25,57737038.90000001,3326953.740625,916498,0.9074237623762377,1021483.759375,12830241.2581625,13851725.0175375,0.11372009426638918,0.026742001763390366,0.0117,5889.142054433762,8.69042420387268
Principal+Interest,5000000,25,30,4000000.0,0.775,30272061.7664,20088275.553810954,11520258.8,16834293.5,25775941.5,37436266.25,54274277.9,3183849.1875,933612,0.9243683168316832,691150.8125,11568928.2773,12260079.0898,0.10971028286023787,0.02570354640185135,0.0203,9998.91500658159,8.790732145309448
Interest Only,5000000,30,30,4000000.0,0.775,51930364.4728,36699413.398403615,19756557.3,28617680.0,42033262.5,63660675.75,94733085.4,2892426.7546875,990309,0.8184371900826446,2438198.2453125,22525609.54295625,24963807.78826875,0.11177762266664892,0.026564177415859147,0.0053,2331.8201905926044,10.43644905090332
Principal+Interest,5000000,30,30,4000000.0,0.775,48243947.2383,37083414.35142785,16573375.2,25408069.5,38629902.5,59174051.25,90994109.80000001,2916894.625,1018838,0.8420148760330578,1733105.375,20677326.632,22410432.007,0.1089187329539727,0.02576842077458852,0.0099,5138.948293716383,10.795769214630127
Interest Only,5100000,10,10,4080000.0,0.9264705882352942,9704536.6958,3825336.977089193,5566445.5,6990576.75,9030263.0,11669318.5,14719206.9,1966869.9,409999,0.9999975609756098,5.1,1902121.3211,1902126.4211,0.11872035180949125,0.027157089169032922,0.1177,72201.53449597386,3.80010986328125
Principal+Interest,5100000,10,10,4080000.0,0.9264705882352942,9199865.9197,3656476.3504679594,5176637.5,6610547.5,8575187.5,11107036.5,13951980.3,1889974.0125,409996,0.9999902439024391,25.9875,1711422.5862,1711448.5737,0.11183009139277722,0.025541022633542854,0.1456,97871.86295942482,2.999742031097412
Interest Only,5100000,10,15,4080000.0,0.8897058823529411,9352913.2248,3750066.0461795563,5350896.5,6675254.75,8648798.0,11271614.25,14159804.300000003,1891811.259375,409993,0.9999829268292683,63.740625,1772190.9215125,1772254.6621375,0.11850967749597308,0.027037459762329075,0.1147,68478.84253482638,2.8824729919433594
Principal+Interest,5100000,10,15,4080000.0,0.8897058823529411,8813031.6892,3612969.15519434,4974359.0,6266931.0,8159981.5,10587115.25,13424338.800000003,1814995.4625,409999,0.9999975609756098,4.5375,1568549.5559,1568554.0934,0.11079953225393102,0.02522543926305798,0.1475,94971.70725962638,3.014986038208008
Interest Only,5100000,10,20,4080000.0,0.8529411764705882,8860784.0287,3497151.523389346,5003259.5,6388346.75,8241746.0,10706378.75,13422540.200000001,1816860.84375,409997,0.9999926829268293,14.15625,1582860.004675,1582874.160925,0.1161621256756935,0.02642825161909479,0.1254,73687.07517490396,3.2472100257873535
Principal+Interest,5100000,10,20,4080000.0,0.8529411764705882,8428111.2695,3454247.8907259647,4656169.3,5982984.0,7785151.5,10264286.75,12936374.700000001,1739980.425,409997,0.9999926829268293,19.575,1435886.95025,1435906.52525,0.10980678117611009,0.02493155650303125,0.1562,100386.1977472165,3.035733938217163
Interest Only,5100000,10,25,4080000.0,0.8161764705882353,8496525.9853,3255594.7100680163,4855082.100000001,6150260.25,7969914.0,10245821.0,12750378.5,1741870.4625,409999,0.9999975609756098,4.5375,1446935.92865,1446940.46615,0.11560213854141521,0.026232717515336956,0.1214,66329.90027414037,3.007571220397949
Principal+Interest,5100000,10,25,4080000.0,0.8161764705882353,7959034.5664,3226386.4470149926,4497414.1,5710298.25,7372349.0,9575239.5,12141110.4,1664960.45625,409995,0.9999878048780488,39.54375,1250638.578775,1250678.122525,0.10708253205815987,0.024221947636280605,0.1558,90483.43767622687,3.0633962154388428
Interest Only,5100000,10,30,4080000.0,0.7794117647058824,8061953.8405,3167298.924861752,4560140.600000001,5805965.5,7532830.0,9720893.25,12211872.700000001,1666875.0,410000,1.0,0.0,1292021.41125,1292021.41125,0.11392745887327638,0.02576819964226318,0.1294,69997.01681382654,3.3374390602111816
Principal+Interest,5100000,10,30,4080000.0,0.7794117647058824,7584221.6771,3058445.1981940703,4251661.1,5375374.75,7043929.5,9183130.75,11579850.600000001,1590000.0,410000,1.0,0.0,1128140.1982,1128140.1982,0.10604011474396047,0.023902642827102083,0.163,93525.82267030129,3.0530052185058594
Interest Only,5100000,15,15,4080000.0,0.8897058823529411,15183335.3788,7518062.461139366,7446927.0,9895715.25,13636821.5,18655699.25,24759161.400000002,2877814.3640625,608505,0.9975491803278689,16248.1359375,4161069.72009375,4177317.85603125,0.11800372415511307,0.02722447366121261,0.059,36663.753748019175,4.3791680335998535
