ltv,lending_margin,additional_margin,annual_income_pct,annual_income,insurance_cost_pa,loan_amount,reinvest_fraction,total_cost_of_funds,mean_reinvestment,mean_cagr,xirr,prob_insurance_payout,mean_funder_earned
0.4,0.02,0.025,0.015,30000.0,0.025,800000.0,0.25,0.08499999999999999,-746510.59,nan,nan,1.0,38853.375
0.4,0.02,0.025,0.015,30000.0,0.03,800000.0,0.25,0.08499999999999999,-1273786.56,nan,nan,1.0,50991.375
0.4,0.03,0.01,0.01,20000.0,0.01,800000.0,0.5,0.08,668501.77,0.031207692317781532,0.010189242790579423,0.66,591436.125
0.4,0.03,0.01,0.01,20000.0,0.015,800000.0,0.5,0.08,402373.44,0.0013694332094980055,0.002247584224785326,0.93,479786.125
0.4,0.03,0.01,0.01,20000.0,0.02,800000.0,0.5,0.08,280155.35,-0.01749377234397753,-0.005938351122413921,0.99,344117.375
0.4,0.03,0.01,0.01,20000.0,0.025,800000.0,0.5,0.08,182215.01,-0.038551097781383104,-0.015345408860277687,1.0,257876.5
0.4,0.03,0.01,0.01,20000.0,0.03,800000.0,0.5,0.08,101474.83,-0.06628375020265465,-0.03418567336349443,1.0,139157.375
0.4,0.03,0.01,0.015,30000.0,0.01,800000.0,0.25,0.08,128135.82,-0.022015373672126026,-0.037121161254638047,1.0,176102.0625
0.4,0.03,0.01,0.015,30000.0,0.015,800000.0,0.25,0.08,48797.66,-0.06810184897386118,-0.11487178557984135,1.0,71335.25
0.4,0.03,0.01,0.015,30000.0,0.02,800000.0,0.25,0.08,-270310.81,nan,nan,1.0,17530.1875
0.4,0.03,0.01,0.015,30000.0,0.025,800000.0,0.25,0.08,-762707.85,nan,nan,1.0,44007.6875
0.4,0.03,0.01,0.015,30000.0,0.03,800000.0,0.25,0.08,-1174772.97,nan,nan,1.0,59227.875
0.4,0.03,0.015,0.01,20000.0,0.01,800000.0,0.5,0.085,608439.53,0.025094254926582682,0.008344725094621142,0.78,556670.625
0.4,0.03,0.015,0.01,20000.0,0.015,800000.0,0.5,0.085,404184.25,0.0014177264581898275,0.0018174645517456955,0.93,462905.625
0.4,0.03,0.015,0.01,20000.0,0.02,800000.0,0.5,0.085,294040.72,-0.014453091757101078,-0.003981936045744372,0.98,382490.5
0.4,0.03,0.015,0.01,20000.0,0.025,800000.0,0.5,0.085,182253.05,-0.038541062963178385,-0.01527999922851997,1.0,248528.875
0.4,0.03,0.015,0.01,20000.0,0.03,800000.0,0.5,0.085,100170.06,-0.06688773668343606,-0.034642163401812365,1.0,136219.125
0.4,0.03,0.015,0.015,30000.0,0.01,800000.0,0.25,0.085,133754.25,-0.019914690189116957,-0.036920965129008776,1.0,167912.9375
0.4,0.03,0.015,0.015,30000.0,0.015,800000.0,0.25,0.085,47991.36,-0.06887786051068512,-0.11756448022032706,1.0,66962.875
0.4,0.03,0.015,0.015,30000.0,0.02,800000.0,0.25,0.085,-266123.18,nan,nan,1.0,16828.0
0.4,0.03,0.015,0.015,30000.0,0.025,800000.0,0.25,0.085,-720952.52,nan,nan,1.0,43676.9375
0.4,0.03,0.015,0.015,30000.0,0.03,800000.0,0.25,0.085,-1419488.93,nan,nan,1.0,52698.1875
