,,,,,,,,,,,,,,,
,Paths,,,,,,,,,,,,,,
,1000,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,Max,FORMULA: =MAX(C13:C112),FORMULA: =MAX(D13:D112),,,,,,,,,,,,
,Min,FORMULA: =MIN(C13:C112),FORMULA: =MIN(D13:D112),,,,,,,,,,,,
,Average,FORMULA: =AVERAGE(C13:C112),FORMULA: =AVERAGE(D13:D112),,,,,,,,,,,,
,Median,FORMULA: =MEDIAN(C13:C112),FORMULA: =MEDIAN(D13:D112),,,,,,,,,,,,
,Count neg,"FORMULA: =COUNTIFS(C13:C112,""<""&0)","FORMULA: =COUNTIFS(D13:D112,""<""&0)",,,,,,,,,,,,
,,,,,,,,,,,,,,,
,Parameter,LMI Payment,30Y Surplus,,,,,,,,,,,,
,Input,FORMULA: =Core!AG91,FORMULA: =Core!Y9,,,,,,,,,,,,
,,0,2682724.636388435,,,,,,,,,,,,
,,0,2200092.238916311,,,,,,,,,,,,
,,0,346480.61426332477,,,,,,,,,,,,
,,110360.04879070772,-110360.04879070772,,,,,,,,,,,,
,,0,613098.8666335046,,,,,,,,,,,,
,,0,2779557.3970414163,,,,,,,,,,,,
,,478164.9886588545,-478164.9886588545,,,,,,,,,,,,
,,0,20384.539234087104,,,,,,,,,,,,
,,189616.60939325904,-189616.60939325904,,,,,,,,,,,,
,,0,465900.58055924415,,,,,,,,,,,,
,,0,449259.2655771596,,,,,,,,,,,,
,,0,481383.6914903808,,,,,,,,,,,,
,,45435.96854092681,-45435.96854092681,,,,,,,,,,,,
,,0,1727077.9204690144,,,,,,,,,,,,
,,479214.8483996927,-479214.8483996927,,,,,,,,,,,,
,,0,922169.4000041091,,,,,,,,,,,,
,,0,441174.0054634027,,,,,,,,,,,,
,,330385.49319671583,-330385.49319671583,,,,,,,,,,,,
,,0,2285208.393813702,,,,,,,,,,,,
,,0,255236.5633454367,,,,,,,,,,,,
,,0,856091.4366386607,,,,,,,,,,,,
,,621008.3839500621,-621008.3839500621,,,,,,,,,,,,
,,0,1890382.145256293,,,,,,,,,,,,
,,0,1665548.5128070847,,,,,,,,,,,,
,,176445.92840450106,-176445.92840450106,,,,,,,,,,,,
,,0,111864.38709761912,,,,,,,,,,,,
,,0,306187.7371106637,,,,,,,,,,,,
,,0,765252.5447700727,,,,,,,,,,,,
,,0,795880.5762175978,,,,,,,,,,,,
,,0,109069.97482947481,,,,,,,,,,,,
,,0,70980.98417598498,,,,,,,,,,,,
,,0,857678.6398897488,,,,,,,,,,,,
,,0,1195099.2630372394,,,,,,,,,,,,
,,64533.79066146724,-64533.79066146724,,,,,,,,,,,,
,,0,260703.98094701674,,,,,,,,,,,,
,,0,505635.2270854395,,,,,,,,,,,,
,,178401.92445128993,-178401.92445128993,,,,,,,,,,,,
,,0,176462.14024045807,,,,,,,,,,,,
,,59782.35998980538,-59782.35998980538,,,,,,,,,,,,
,,0,627063.0861885606,,,,,,,,,,,,
,,0,457908.6893274174,,,,,,,,,,,,
,,0,937105.5738692395,,,,,,,,,,,,
,,0,1517525.8054304835,,,,,,,,,,,,
,,0,3623648.8846925655,,,,,,,,,,,,
,,539567.5828672431,-539567.5828672431,,,,,,,,,,,,
,,0,2243620.239061149,,,,,,,,,,,,
,,0,213020.28495951858,,,,,,,,,,,,
,,0,834806.238908045,,,,,,,,,,,,
,,380525.0010495973,-380525.0010495973,,,,,,,,,,,,
,,286146.4100414908,-286146.4100414908,,,,,,,,,,,,
,,389010.99527538987,-389010.99527538987,,,,,,,,,,,,
,,0,201186.46756035322,,,,,,,,,,,,
,,0,800111.3076326423,,,,,,,,,,,,
,,0,1016922.9651953005,,,,,,,,,,,,
,,0,1116595.5908211991,,,,,,,,,,,,
,,0,2600686.490720327,,,,,,,,,,,,
,,0,68783.06051037484,,,,,,,,,,,,
,,0,304462.7700686669,,,,,,,,,,,,
,,18587.136144776596,-18587.136144776596,,,,,,,,,,,,
,,0,897779.1566357885,,,,,,,,,,,,
,,0,332996.14259377285,,,,,,,,,,,,
,,29968.25560874981,-29968.25560874981,,,,,,,,,,,,
,,0,871821.6137809653,,,,,,,,,,,,
,,38889.58126942534,-38889.58126942534,,,,,,,,,,,,
,,73254.36620844353,-73254.36620844353,,,,,,,,,,,,
,,0,496605.2502084037,,,,,,,,,,,,
,,0,2682766.292576056,,,,,,,,,,,,
,,0,1110306.4645651127,,,,,,,,,,,,
,,0,972807.3196240007,,,,,,,,,,,,
,,0,474442.29944398836,,,,,,,,,,,,
,,0,169766.36607848993,,,,,,,,,,,,
,,0,2144362.13013758,,,,,,,,,,,,
,,0,337247.9919179382,,,,,,,,,,,,
,,283831.00246061187,-283831.00246061187,,,,,,,,,,,,
,,0,190636.0494821982,,,,,,,,,,,,
,,0,307033.8345373038,,,,,,,,,,,,
,,0,352577.1026820014,,,,,,,,,,,,
,,0,47982.773408049135,,,,,,,,,,,,
,,0,2945873.8701256746,,,,,,,,,,,,
,,0,64257.39946415671,,,,,,,,,,,,
,,0,26607.804536846234,,,,,,,,,,,,
,,510205.00904422486,-510205.00904422486,,,,,,,,,,,,
,,1640.1367360351142,-1640.1367360351142,,,,,,,,,,,,
,,178758.5371208872,-178758.5371208872,,,,,,,,,,,,
,,0,372227.814420406,,,,,,,,,,,,
,,0,1737497.9590025684,,,,,,,,,,,,
,,0,653345.483127852,,,,,,,,,,,,
,,0,529512.5962474013,,,,,,,,,,,,
,,0,950966.0247040109,,,,,,,,,,,,
,,22312.742556641693,-22312.742556641693,,,,,,,,,,,,
,,31456.88304448512,-31456.88304448512,,,,,,,,,,,,
,,0,791219.884435195,,,,,,,,,,,,
,,494223.2581326786,-494223.2581326786,,,,,,,,,,,,
,,311500.47484685446,-311500.47484685446,,,,,,,,,,,,
,,0,350931.5733044818,,,,,,,,,,,,
,,0,1034275.1403021789,,,,,,,,,,,,
,,97676.98630637443,-97676.98630637443,,,,,,,,,,,,
,,0,1306106.4835880217,,,,,,,,,,,,
,,0,109245.7080264528,,,,,,,,,,,,
,,213236.62967335817,-213236.62967335817,,,,,,,,,,,,
,,99529.31791378977,-99529.31791378977,,,,,,,,,,,,
,,0,35157.30786280008,,,,,,,,,,,,
,,255237.1155619591,-255237.1155619591,,,,,,,,,,,,
,,0,180638.3050558383,,,,,,,,,,,,
