loan_type,house_value,loan_duration,annuity_duration,loan_amount,reinvest_fraction,mean_reinvestment,std_reinvestment,p10_reinvestment,p25_reinvestment,p50_reinvestment,p75_reinvestment,p90_reinvestment,mean_deficit,total_holiday_quarters,pct_quarters_holiday,mean_funder_earned,mean_funder_profit_share,mean_net_position,mean_cagr,xirr,prob_insurance_payout,mean_insurance_payout_npv,simulation_time_sec
Interest Only,1000000,10,10,800000.0,0.8125,1240833.9697611728,362544.3394354141,863943.2427278997,1020349.6078950345,1172538.4453658096,1387503.2791980563,1694114.3566994234,274718.794634375,950042.0,0.2375105,0.0,142780.36219335772,142780.36219335772,0.07847521679706837,0.019409798887247958,0.28791,49524.75165137881,0.5830898284912109
Principal+Interest,1000000,10,10,800000.0,0.8125,-119078.90674207559,443926.7937305268,-701335.5923706236,-436119.000002763,-95879.43934989531,167752.74009663277,425393.48573234276,475347.520190625,3959101.0,0.98977525,0.0,283.4957127632724,283.4957127632724,nan,,0.99372,917950.677464392,0.562852144241333
Interest Only,1000000,10,15,800000.0,0.71875,1080558.2218139975,312971.8789157529,755565.9915707584,891063.6725307485,1022823.3533975553,1205592.282369407,1470559.9838796582,246265.004740625,950800.0,0.2377,0.0,94951.85392424975,94951.85392424975,0.07412753838406028,0.01833495169422019,0.30263,46957.24739639428,0.5500962734222412
Principal+Interest,1000000,10,15,800000.0,0.71875,-417156.93602292554,438825.8494558295,-960416.5810710671,-727616.2222220747,-437667.78299698536,-100436.78128847433,146850.85241037936,422073.0397625,3988711.0,0.99717775,0.0,11.7088999262034,11.7088999262034,nan,,0.99873,1042284.0023227836,0.7010979652404785
Interest Only,1000000,10,20,800000.0,0.625,920354.870237014,263441.4908614629,647058.4702935325,761006.0224989699,873224.2967793479,1023711.3813754085,1246379.5735073397,217878.081478125,951737.0,0.23793425,0.0,54716.745013997584,54716.745013997584,0.06907125133011349,0.017078318299697196,0.32218,44622.994770620564,0.6582698822021484
Principal+Interest,1000000,10,20,800000.0,0.625,-767705.6363368136,439892.1049693489,-1283120.1580621996,-1026441.155219751,-774518.0360603537,-498273.1700142057,-207291.48788193447,367692.911828125,3998711.0,0.99967775,0.0,0.0,0.0,nan,,0.99994,1205140.9892544418,0.5579707622528076
Interest Only,1000000,10,25,800000.0,0.53125,760306.975301305,213979.4755834865,538115.5827469798,631591.4142912112,725247.3058441167,842449.8231959273,1022323.0864750945,189628.89849375,953207.0,0.23830175,0.0,24896.41210825436,24896.41210825436,0.06330859264621469,0.015635560031005483,0.35091,42673.540808531565,0.5909650325775146
Principal+Interest,1000000,10,25,800000.0,0.53125,-1219274.5673175284,490894.5166105533,-1871226.8005484624,-1499485.2078519478,-1155542.878833526,-892551.3243517549,-665286.9544620543,312981.86622499995,3999840.0,0.99996,0.0,0.0,0.0,nan,,1.0,1442318.1758010017,0.5750079154968262
Interest Only,1000000,10,30,800000.0,0.4375,600585.034325815,164723.5227458217,429519.0154416124,501686.27341416554,577616.5475415805,662260.3187635203,799100.0358247212,161652.025584375,955663.0,0.23891575,0.0,7387.989981955137,7387.989981955137,0.05677280004314045,0.013982495976573871,0.39483,41416.75515486134,0.5674560070037842
Principal+Interest,1000000,10,30,800000.0,0.4375,-1809692.6358933721,535805.1371196514,-2515340.445566296,-2140691.2420907984,-1764487.2630790528,-1428694.3229399356,-1160589.2469413823,258236.983525,3999980.0,0.999995,0.0,0.0,0.0,nan,,1.0,1781791.9911406892,0.5858509540557861
Interest Only,1000000,15,15,800000.0,0.71875,1276561.9227585124,575888.8334926444,795882.522449186,925339.1335300587,1090326.349107956,1449191.3131953098,1995600.0157799004,199116.006553125,381383.0,0.06356383333333333,0.0,204336.7278339652,204336.7278339652,0.06510028161483605,,0.23559,38629.85531880891,0.8804149627685547
Principal+Interest,1000000,15,15,800000.0,0.71875,-405767.96113966225,778399.8705947407,-1486934.7464960502,-846476.7603565037,-342386.94662214804,145975.3578232014,529221.0668254808,618818.7087125,5704449.0,0.9507415,0.0,1214.833319570425,1214.833319570425,nan,,0.98257,1015160.3955344115,0.9210402965545654
Interest Only,1000000,15,20,800000.0,0.625,1065325.7980539573,477147.9006918979,671144.8906340586,778588.2507665008,909728.0016316269,1199719.5195998114,1654862.9445420974,180256.435109375,388886.0,0.06481433333333333,0.0,131399.48447449977,131399.48447449977,0.05990831071135383,,0.26367,38684.86867879956,0.8432838916778564
Principal+Interest,1000000,15,20,800000.0,0.625,-1023589.5186164376,878803.9250583529,-2224375.8252722006,-1654017.194414072,-932243.3262629523,-388284.798748951,87059.6206460408,547670.447471875,5906593.0,0.9844321666666667,0.0,105.9311607923145,105.9311607923145,nan,,0.99629,1310775.8562571926,0.8587923049926758
Interest Only,1000000,15,25,800000.0,0.53125,855414.6533462963,378313.49775259884,546620.9021218563,632436.5434299434,732368.1073742385,951160.3892121556,1316614.7225396964,162373.542528125,401103.0,0.0668505,0.0,71034.56797139092,71034.56797139092,0.05332448427095149,,0.30691,39707.93524109215,0.8714361190795898
Principal+Interest,1000000,15,25,800000.0,0.53125,-1864520.4059378875,917524.7957998237,-2981821.823271226,-2499514.2524882043,-1908347.1333477595,-1226118.5324013352,-630896.443320863,469093.53673437494,5987324.0,0.9978873333333333,0.0,0.9346334938565337,0.9346334938565337,nan,,0.99979,1745080.6626856083,0.8498051166534424
Interest Only,1000000,15,30,800000.0,0.4375,647714.198825618,279494.53985505644,423941.43302103557,487812.1675966696,560203.3301491442,706614.5924450607,978820.2242205372,146171.339440625,421489.0,0.07024816666666667,0.0,28299.825188830524,28299.825188830524,0.04486258357129436,,0.37603,42594.18416112078,0.8286027908325195
Principal+Interest,1000000,15,30,800000.0,0.4375,-3000673.745224464,987063.8591572423,-4270802.728978533,-3531755.135367793,-2918519.8650360536,-2383974.0328479414,-1862770.2557492568,387348.502875,5999767.0,0.9999611666666667,0.0,0.0,0.0,nan,,1.0,2364622.962550434,0.8747479915618896
Interest Only,1000000,20,20,800000.0,0.625,1274503.0837461934,844045.3226025342,658921.8412931857,771954.0639262361,954878.6974889336,1479153.3515179302,2295031.1501432187,153953.81218125,208776.0,0.026097,0.0,244257.09176708385,244257.09176708385,0.05712406582780716,,0.24249,35247.64685772763,1.1147160530090332
Principal+Interest,1000000,20,20,800000.0,0.625,-1369859.8778322246,1626142.7849559828,-3657292.698093296,-2292977.890573619,-1098345.8924047346,-59082.90530836852,447692.4813145648,708441.32929375,7427107.0,0.928388375,0.0,1467.704159946409,1467.704159946409,nan,,0.98221,1403612.0416927675,1.1226708889007568
Interest Only,1000000,20,25,800000.0,0.53125,988339.6781794998,654908.656185531,529234.3402095336,615511.4917147595,736646.4387231842,1117854.9848471237,1763690.882852353,148891.472740625,238349.0,0.029793625,0.0,142040.68007163884,142040.68007163884,0.05012690032417466,,0.30249,39389.478894275686,1.1138999462127686
