loan_type,house_value,loan_duration,annuity_duration,loan_amount,reinvest_fraction,mean_reinvestment,std_reinvestment,p10_reinvestment,p25_reinvestment,p50_reinvestment,p75_reinvestment,p90_reinvestment,mean_deficit,total_holiday_quarters,pct_quarters_holiday,mean_funder_earned,mean_funder_profit_share,mean_net_position,mean_cagr,xirr,prob_insurance_payout,mean_insurance_payout_npv,simulation_time_sec
Interest Only,1000000,10,10,800000.0,0.8125,1164542.283763671,472279.0413252749,653096.1148872051,829233.2337145717,1079555.3153541088,1404268.0681647086,1782285.382740716,416000.0,4000000.0,1.0,0.0,79822.07558283737,79822.07558283737,0.06709582492457855,0.016640920099729926,0.48704,86338.13475386072,8.466302871704102
Principal+Interest,1000000,10,10,800000.0,0.8125,-900240.5817225575,352129.7221634638,-1362787.7812603868,-1080848.5949495928,-838811.9146936665,-649480.9921294186,-516415.226832624,416000.0,4000000.0,1.0,0.0,0.0,0.0,nan,,1.0,1328321.6843029568,12.416975021362305
Interest Only,1000000,10,15,800000.0,0.71875,960889.2735019343,392032.200835724,536832.4922803411,682908.7413879139,889867.8810443543,1159157.9167607594,1473500.1319243917,416000.0,4000000.0,1.0,0.0,35401.38583014446,35401.38583014446,0.056505643850015996,0.014024833805230855,0.60723,113124.83779932605,11.95759916305542
Principal+Interest,1000000,10,15,800000.0,0.71875,-1103893.5919843067,422998.61900559574,-1660124.2393490477,-1322549.8747562869,-1030971.8660854467,-801716.6573644636,-641543.6515248392,416000.0,4000000.0,1.0,0.0,0.0,0.0,nan,,1.0,1415235.0482473753,11.97212815284729
Interest Only,1000000,10,20,800000.0,0.625,757236.2632402086,311923.78533059673,420376.768879544,536049.2810156485,700111.0921895639,914628.4955872999,1165295.6192104702,416000.0,4000000.0,1.0,0.0,10509.597858636324,10509.597858636324,0.043817918824506474,0.010863161172453154,0.75108,152196.4671312461,11.061078071594238
Principal+Interest,1000000,10,20,800000.0,0.625,-1307546.602246019,496815.6296617983,-1960819.055595004,-1564031.8403149196,-1222705.2163613802,-952492.2928874753,-763278.3297860497,416000.0,4000000.0,1.0,0.0,0.0,0.0,nan,,1.0,1502148.4121917707,11.551545858383179
Interest Only,1000000,10,25,800000.0,0.53125,553583.2529784549,232097.17138241112,303690.7068744765,389113.04696778435,510722.1637197677,669817.5931031315,857095.7830325684,416000.0,4000000.0,1.0,0.0,1508.7062933945015,1508.7062933945015,0.027064221757160167,0.006644020222610401,0.89191,208240.3154814306,11.53101372718811
Principal+Interest,1000000,10,25,800000.0,0.53125,-1511199.612507766,572441.3994617622,-2263926.0070649036,-1807932.3902188567,-1413363.8259906122,-1102514.5641782903,-882933.0991639604,416000.0,4000000.0,1.0,0.0,0.0,0.0,nan,,1.0,1589061.7761361774,10.603050947189331
Interest Only,1000000,10,30,800000.0,0.4375,349930.2427167257,152994.0973317261,186282.12673225076,241650.51847481017,321203.2791281523,425565.45042026974,549701.2952456629,416000.0,4000000.0,1.0,0.0,50.65545389284541,50.65545389284541,-5.457799579722256e-06,,0.9819,282708.3583944404,11.320122003555298
Principal+Interest,1000000,10,30,800000.0,0.4375,-1714852.6227695239,649244.1678637636,-2569069.3750962038,-2051067.7051667192,-1604215.7270182287,-1251772.8657254544,-1002198.0042370072,416000.0,4000000.0,1.0,0.0,0.0,0.0,nan,,1.0,1675975.1400806066,18.353775024414062
